Month,Year,Consumer Confidence Index TX,Consumer Confidence West South Central,Consumer Confidence Index US,PCE Deflator,Consumer Price Index TX,Consumer Price Index U.S.,CPI U.S. Ex Food and Energy,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.,Single Family Building Permits TX,Multi Family Building Permits TX,Existing Single Family Home Sales TX,Existing Single Family Home Price TX,Non Residential Building Construction,Total Sales Tax Collections Retail TX,Total Sales Tax Collections TX,Retail Gasoline Price TX,Retail Diesel Price TX,Nonfarm Employment Illinois,Nonfarm Employment Florida,Nonfarm Employment New York,Nonfarm Employment Texas,Nonfarm Employment California,Gross Value Crude Oil Production,Gross Value Natural Gas Production,Motor Fuel Taxed Gasoline,Motor Fuel Taxed Diesel
1,2005,,,,,,,,,,,,,,,,,,,1.773,1.906,"5,829.6","7,650.2","8,490.6","9,642.4","14,881.8",,,,
2,2005,,,,,,,,,,,,,,,,,,,1.841,1.958,"5,836.2","7,670.7","8,487.9","9,653.2","14,908.3",,,,
3,2005,,,,,,,,,,,,,,,,,,,2.008,2.148,"5,833.8","7,668.7","8,483.6","9,670.8","14,929.3",,,,
4,2005,,,,,,,,,,,,,,,,,,,2.169,2.226,"5,857.5","7,716.4","8,518.6","9,715.1","14,979.4",,,,
5,2005,,,,,,,,,,,,,,,,,,,2.088,2.15,"5,855.4","7,753","8,509.9","9,727.1","14,985.4",,,,
6,2005,,,,,,,,,,,,,,,,,,,2.101,2.256,"5,841","7,761.6","8,515.9","9,734","15,000.9",,,,
7,2005,,,,,,,,,,,,,,,,,,,2.227,2.314,"5,874.9","7,813","8,533.1","9,796.7","15,066.5",,,,
8,2005,,,,,,,,,,,,,,,,,,,2.446,2.421,"5,879.7","7,839.5","8,544","9,812.5","15,097.6",,,,
9,2005,,,,,,,,,,,,,,,,,,,2.843,2.766,"5,884.4","7,874.1","8,552","9,841.1","15,136.4",,,,
10,2005,,,,,,,,,,,,,,,,,,,2.72,3.107,"5,880","7,873.4","8,526.8","9,853.4","15,148",,,,
11,2005,,,,,,,,,,,,,,,,,,,2.205,2.553,"5,887.8","7,880.5","8,544.4","9,903.2","15,189.3",,,,
12,2005,,,,,,,,,,,,,,,,,,,2.161,2.424,"5,889.2","7,903.5","8,560.6","9,925.6","15,214.7",,,,
1,2006,,,,,,,,,,,,,,,,,,,2.289,2.434,"5,901.5","7,913.2","8,561","9,963.1","15,214.6",,,,
2,2006,,,,,,,,,,,,,,,,,,,2.215,2.445,"5,914.7","7,924.9","8,562.4","9,982.1","15,248.9",,,,
3,2006,,,,,,,,,,,,,,,,,,,2.393,2.519,"5,921.3","7,952.1","8,579.5","10,017.9","15,259",,,,
4,2006,,,,,,,,,,,,,,,,,,,2.774,2.681,"5,921.1","7,958.9","8,588.3","10,031.9","15,270.6",,,,
5,2006,,,,,,,,,,,,,,,,,,,2.86,2.815,"5,920.7","7,977.2","8,592","10,058.2","15,311.7",,,,
6,2006,,,,,,,,,,,,,,,,,,,2.825,2.834,"5,938.3","7,993.7","8,601","10,087.1","15,342.9",,,,
7,2006,,,,,,,,,,,,,,,,,,,2.906,2.88,"5,935.8","7,997.4","8,600","10,092.2","15,345.3",,,,
8,2006,,,,,,,,,,,,,,,,,,,2.868,2.952,"5,944.5","8,017.5","8,603.9","10,137.6","15,374",,,,
9,2006,,,,,,,,,,,,,,,,,722.09,"1,513.37",2.443,2.701,"5,945.9","8,023","8,616.4","10,172.8","15,385.5",,,,
10,2006,,,,,,,,,,,,,,,,,764.03,"1,597.47",2.149,2.467,"5,937.9","8,017.3","8,626.3","10,184.7","15,379.8",,,,
11,2006,,,,,,,,,,,,,,,,,851.52,"1,739.42",2.137,2.47,"5,941.5","8,021.2","8,644.3","10,214","15,383",,,,
12,2006,,,,,,,,,,,,,,,,,909.4,"1,687.59",2.231,2.528,"5,951.2","8,031.8","8,666.6","10,248.9","15,392.9",,,,
1,2007,,127.6,110.2,95.689,184.549,202.416,208.009,10.268,137.477,4.5,4.6,"9,413","4,008","17,379","136,964","1,305.04",874.02,"1,743.6",2.143,2.412,"5,966.3","8,044","8,686.2","10,266.6","15,408.6","1,433.71","3,731.72",982.7,307.1
2,2007,,130,111.2,96.005,185.37,203.499,209.112,10.306,137.558,4.4,4.5,"10,308","5,413","20,448","139,508","1,799.86",786.32,"1,632.24",2.16,2.417,"5,956.6","8,045.3","8,686","10,304","15,434.1","1,455.88","3,097.03",942.0,305.6
3,2007,,129.8,108.2,96.34,186.417,205.352,209.923,10.345,137.793,4.4,4.4,"12,441","3,974","26,279","143,323","1,634.04",779.72,"1,569.57",2.434,2.629,"5,976.5","8,054.7","8,696.6","10,345.6","15,469","1,668.14","3,367.99",898.2,311.0
4,2007,,127.8,106.3,96.527,187.804,206.686,210.311,10.37,137.842,4.3,4.5,"11,084","2,438","25,294","144,986","1,819.68",840.92,"1,720.74",2.761,2.801,"5,974.7","8,038.1","8,686.8","10,372.5","15,425.2","1,703.75","3,875.43",987.9,376.7
5,2007,,132.9,108.5,96.798,188.557,207.949,210.316,10.396,137.993,4.3,4.4,"11,531","4,926","29,497","147,725","1,451.1",860.59,"1,793.19",3.016,2.745,"5,982.9","8,031.4","8,705.9","10,397.7","15,444","1,712.18","3,782.04","1,003.1",253.6
