Id,FiscalYear,Year,DistilledSpiritsTotalTax,Month,Population1,Population2,DistilledSpiritsTotalGallons,DistilledSpiritsPerCapitaConsumption,DistilledSpiritsTaxRatePerGallon,WineTotalTaxCollections,WineTotalGallonsEstimated,WinePerCapitaConsumptionEstimated,AvgWineRate,LowWineTaxRatePerGallon,HighWineTaxRatePerGallon,SparklingWineTaxRatePerGallon,BeerTotalTax,BeerTotalGallons,BeerPerCapitaConsumption,BeerTaxRatePerGallon,AleTotalTax,AleTotalGallons,AlePerCapitaConsumption,AleTaxRatePerGallon
200401,2004,2004,"7,588,838.44",1,"21,120,416","21,372,008","3,162,016",0.1497,2.4,"1,117,136.98","3,787,162",0.1793,0.29498,0.204,0.408,0.516,"9,425,512.5","48,698,579",2.3058,0.193548,"440,011.24","2,222,279",0.1052,0.198
200402,2004,2004,"2,858,586.56",2,"21,120,416","21,372,008","1,191,078",0.0564,2.4,"479,834.74","1,991,792",0.0943,0.240906,0.204,0.408,0.516,"7,329,422.21","37,868,757",1.793,0.193548,"370,429.9","1,870,858",0.0886,0.198
200403,2004,2004,"4,035,812.45",3,"21,120,416","21,372,008","1,681,589",0.0796,2.4,"602,753.12","2,474,661",0.1172,0.24357,0.204,0.408,0.516,"6,823,183.8","35,253,187",1.6692,0.193548,"359,926.58","1,817,811",0.0861,0.198
200404,2004,2004,"4,623,249.96",4,"21,120,416","21,372,008","1,926,354",0.0912,2.4,"671,908.71","2,781,804",0.1317,0.241537,0.204,0.408,0.516,"8,788,742.3","45,408,593",2.15,0.193548,"430,730.89","2,175,409",0.103,0.198
200405,2004,2004,"4,357,139.87",5,"21,120,416","21,372,008","1,815,475",0.086,2.4,"652,503.77","2,672,027",0.1265,0.244198,0.204,0.408,0.516,"9,135,415.74","47,199,742",2.2348,0.193548,"433,642.41","2,190,113",0.1037,0.198
200406,2004,2004,"3,912,779.64",6,"21,120,416","21,372,008","1,630,325",0.0772,2.4,"640,612.57","2,626,764",0.1244,0.243879,0.204,0.408,0.516,"9,356,278.78","48,340,870",2.2888,0.193548,"435,028.31","2,197,113",0.104,0.198
200407,2004,2004,"5,081,579.29",7,"21,120,416","21,372,008","2,117,325",0.1003,2.4,"641,664.41","2,607,703",0.1235,0.246065,0.204,0.408,0.516,"9,468,532.49","48,920,849",2.3163,0.193548,"448,581.24","2,265,562",0.1073,0.198
200408,2004,2004,"3,553,839.58",8,"21,120,416","21,372,008","1,480,766",0.0701,2.4,"612,299.68","2,517,959",0.1192,0.243173,0.204,0.408,0.516,"9,362,143.39","48,371,171",2.2903,0.193548,"445,284.66","2,248,912",0.1065,0.198
200409,2005,2004,"4,595,975.95",9,"21,372,008","21,372,008","1,914,990",0.0896,2.4,"609,108.97","2,493,242",0.1167,0.244304,0.204,0.408,0.516,"9,237,530.3","47,727,335",2.2332,0.193548,"446,656.5","2,255,841",0.1056,0.198
200410,2005,2004,"4,201,006.2",10,"21,372,008","21,372,008","1,750,419",0.0819,2.4,"660,954.08","2,722,766",0.1274,0.242751,0.204,0.408,0.516,"8,906,188.74","46,015,401",2.1531,0.193548,"450,619.62","2,275,857",0.1065,0.198
200411,2005,2004,"3,772,970.22",11,"21,372,008","21,372,008","1,572,071",0.0736,2.4,"670,884.8","2,676,367",0.1252,0.25067,0.204,0.408,0.516,"8,227,410.37","42,508,372",1.989,0.193548,"432,107.85","2,182,363",0.1021,0.198
200412,2005,2004,"4,909,063.98",12,"21,372,008","21,372,008","2,045,443",0.0957,2.4,"829,250.98","3,217,031",0.1505,0.257769,0.204,0.408,0.516,"8,276,013.8","42,759,490",2.0007,0.193548,"448,126.88","2,263,267",0.1059,0.198
200501,2005,2005,"8,039,716.32",1,"21,372,008","21,372,008","3,349,882",0.1567,2.4,"1,173,776.9","3,961,127",0.1853,0.296324,0.204,0.408,0.516,"8,983,474.51","46,414,711",2.1718,0.193548,"477,693.12","2,412,592",0.1129,0.198
200502,2005,2005,"2,601,702.92",2,"21,372,008","21,372,008","1,084,043",0.0507,2.4,"474,844.29","1,959,761",0.0917,0.242297,0.204,0.408,0.516,"6,413,483.93","33,136,400",1.5505,0.193548,"379,443.62","1,916,382",0.0897,0.198
200503,2005,2005,"3,815,975.36",3,"21,372,008","21,372,008","1,589,990",0.0744,2.4,"639,765.71","2,638,166",0.1234,0.242504,0.204,0.408,0.516,"6,946,055.19","35,888,024",1.6792,0.193548,"408,052.17","2,060,870",0.0964,0.198
200504,2005,2005,"4,900,070.97",4,"21,372,008","21,372,008","2,041,696",0.0955,2.4,"714,138.05","2,939,493",0.1375,0.242946,0.204,0.408,0.516,"9,044,519.89","46,730,113",2.1865,0.193548,"499,585.53","2,523,159",0.1181,0.198
200505,2005,2005,"4,418,553.34",5,"21,372,008","21,372,008","1,841,064",0.0861,2.4,"633,830.33","2,583,519",0.1209,0.245336,0.204,0.408,0.516,"8,579,582.14","44,327,930",2.0741,0.193548,"447,471.87","2,259,959",0.1057,0.198
200506,2005,2005,"4,295,388.69",6,"21,372,008","21,372,008","1,789,745",0.0837,2.4,"717,136.07","2,910,573",0.1362,0.24639,0.204,0.408,0.516,"9,811,523.56","50,692,973",2.3719,0.193548,"499,461.72","2,522,534",0.118,0.198
200507,2005,2005,"5,533,566.37",7,"21,372,008","21,372,008","2,305,653",0.1079,2.4,"713,709.87","2,928,954",0.137,0.243674,0.204,0.408,0.516,"9,965,265.09","51,487,306",2.4091,0.193548,"517,621.24","2,614,249",0.1223,0.198
200508,2005,2005,"3,248,039.73",8,"21,372,008","21,372,008","1,353,350",0.0633,2.4,"594,804.59","2,417,374",0.1131,0.246054,0.204,0.408,0.516,"8,582,582.77","44,343,433",2.0748,0.193548,"435,544.35","2,199,719",0.1029,0.198
