U.S. No 2 Diesel Retail Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMD_EPD2D_PTE_NUS_DPG&f=M
11:19:55 GMT+0300 (Eastern European Summer Time)
Data source: U.S. Energy Information Administration
Month,U.S. No 2 Diesel Retail Prices Dollars per Gallon
Mar 2024,4.022
Feb 2024,4.044
Jan 2024,3.854
Dec 2023,3.972
Nov 2023,4.254
Oct 2023,4.507
Sep 2023,4.563
Aug 2023,4.37
Jul 2023,3.882
Jun 2023,3.802
May 2023,3.915
Apr 2023,4.099
Mar 2023,4.211
Feb 2023,4.413
Jan 2023,4.576
Dec 2022,4.714
Nov 2022,5.255
Oct 2022,5.211
Sep 2022,4.993
Aug 2022,5.013
Jul 2022,5.486
Jun 2022,5.754
May 2022,5.571
Apr 2022,5.12
Mar 2022,5.105
Feb 2022,4.032
Jan 2022,3.724
Dec 2021,3.641
Nov 2021,3.727
Oct 2021,3.612
Sep 2021,3.384
Aug 2021,3.35
Jul 2021,3.339
Jun 2021,3.287
May 2021,3.217
Apr 2021,3.13
Mar 2021,3.152
Feb 2021,2.847
Jan 2021,2.681
Dec 2020,2.585
Nov 2020,2.432
Oct 2020,2.389
Sep 2020,2.414
Aug 2020,2.429
Jul 2020,2.434
Jun 2020,2.408
May 2020,2.392
Apr 2020,2.493
Mar 2020,2.729
Feb 2020,2.91
Jan 2020,3.048
Dec 2019,3.055
Nov 2019,3.069
Oct 2019,3.053
Sep 2019,3.016
Aug 2019,3.005
Jul 2019,3.045
Jun 2019,3.089
May 2019,3.161
Apr 2019,3.121
Mar 2019,3.076
Feb 2019,2.997
Jan 2019,2.98
Dec 2018,3.123
Nov 2018,3.3
Oct 2018,3.365
Sep 2018,3.262
Aug 2018,3.218
Jul 2018,3.233
Jun 2018,3.253
May 2018,3.244
Apr 2018,3.096
Mar 2018,2.988
Feb 2018,3.046
Jan 2018,3.018
Dec 2017,2.909
Nov 2017,2.909
Oct 2017,2.794
Sep 2017,2.785
Aug 2017,2.595
Jul 2017,2.496
Jun 2017,2.511
May 2017,2.56
Apr 2017,2.583
Mar 2017,2.554
Feb 2017,2.568
Jan 2017,2.58
Dec 2016,2.51
Nov 2016,2.439
Oct 2016,2.454
Sep 2016,2.394
Aug 2016,2.351
Jul 2016,2.405
Jun 2016,2.423
May 2016,2.315
Apr 2016,2.152
Mar 2016,2.09
Feb 2016,1.998
Jan 2016,2.143
Dec 2015,2.31
Nov 2015,2.467
Oct 2015,2.519
Sep 2015,2.505
Aug 2015,2.595
Jul 2015,2.788
Jun 2015,2.873
May 2015,2.888
Apr 2015,2.782
Mar 2015,2.897
Feb 2015,2.858
Jan 2015,2.997
Dec 2014,3.411
Nov 2014,3.647
Oct 2014,3.681
Sep 2014,3.792
Aug 2014,3.838
Jul 2014,3.884
Jun 2014,3.906
May 2014,3.943
Apr 2014,3.964
Mar 2014,4.001
Feb 2014,3.984
Jan 2014,3.893
Dec 2013,3.882
Nov 2013,3.839
Oct 2013,3.885
Sep 2013,3.961
Aug 2013,3.905
Jul 2013,3.866
Jun 2013,3.849
May 2013,3.87
Apr 2013,3.93
Mar 2013,4.068
Feb 2013,4.111
Jan 2013,3.909
Dec 2012,3.961
Nov 2012,4
Oct 2012,4.094
Sep 2012,4.12
Aug 2012,3.983
Jul 2012,3.721
Jun 2012,3.759
May 2012,3.979
Apr 2012,4.115
Mar 2012,4.127
Feb 2012,3.953
Jan 2012,3.833
Dec 2011,3.861
Nov 2011,3.962
Oct 2011,3.798
Sep 2011,3.837
Aug 2011,3.86
Jul 2011,3.905
Jun 2011,3.933
May 2011,4.047
Apr 2011,4.064
Mar 2011,3.905
Feb 2011,3.584
Jan 2011,3.388
Dec 2010,3.243
Nov 2010,3.14
Oct 2010,3.052
Sep 2010,2.946
Aug 2010,2.959
Jul 2010,2.911
Jun 2010,2.948
May 2010,3.069
Apr 2010,3.059
Mar 2010,2.915
Feb 2010,2.785
Jan 2010,2.845
Dec 2009,2.745
Nov 2009,2.792
Oct 2009,2.672
Sep 2009,2.626
Aug 2009,2.634
Jul 2009,2.54
Jun 2009,2.529
May 2009,2.227
Apr 2009,2.22
Mar 2009,2.092
Feb 2009,2.195
Jan 2009,2.292
Dec 2008,2.449
Nov 2008,2.876
Oct 2008,3.576
Sep 2008,4.024
Aug 2008,4.302
Jul 2008,4.703
Jun 2008,4.677
May 2008,4.425
Apr 2008,4.084
Mar 2008,3.881
Feb 2008,3.377
Jan 2008,3.308
Dec 2007,3.341
Nov 2007,3.396
Oct 2007,3.075
Sep 2007,2.953
Aug 2007,2.869
Jul 2007,2.868
Jun 2007,2.808
May 2007,2.796
Apr 2007,2.834
Mar 2007,2.667
Feb 2007,2.488
Jan 2007,2.485
Dec 2006,2.61
Nov 2006,2.545
Oct 2006,2.519
Sep 2006,2.783
Aug 2006,3.045
Jul 2006,2.934
Jun 2006,2.898
May 2006,2.897
Apr 2006,2.728
Mar 2006,2.559
Feb 2006,2.475
Jan 2006,2.467
Dec 2005,2.443
Nov 2005,2.573
Oct 2005,3.095
Sep 2005,2.819
Aug 2005,2.5
Jul 2005,2.373
Jun 2005,2.29
May 2005,2.199
Apr 2005,2.292
Mar 2005,2.214
Feb 2005,2.027
Jan 2005,1.959
Dec 2004,2.009
Nov 2004,2.147
Oct 2004,2.134
Sep 2004,1.917
Aug 2004,1.833
Jul 2004,1.739
Jun 2004,1.711
May 2004,1.746
Apr 2004,1.692
Mar 2004,1.629
Feb 2004,1.582
Jan 2004,1.551
Dec 2003,1.49
Nov 2003,1.482
Oct 2003,1.481
Sep 2003,1.467
Aug 2003,1.487
Jul 2003,1.435
Jun 2003,1.424
May 2003,1.451
Apr 2003,1.533
Mar 2003,1.708
Feb 2003,1.654
Jan 2003,1.488
Dec 2002,1.429
Nov 2002,1.42
Oct 2002,1.462
Sep 2002,1.411
Aug 2002,1.328
Jul 2002,1.299
Jun 2002,1.286
May 2002,1.305
Apr 2002,1.309
Mar 2002,1.23
Feb 2002,1.152
Jan 2002,1.153
Dec 2001,1.167
Nov 2001,1.259
Oct 2001,1.348
Sep 2001,1.495
Aug 2001,1.39
Jul 2001,1.375
Jun 2001,1.482
May 2001,1.496
Apr 2001,1.422
Mar 2001,1.399
Feb 2001,1.492
Jan 2001,1.524
Dec 2000,1.565
Nov 2000,1.621
Oct 2000,1.637
Sep 2000,1.637
Aug 2000,1.466
Jul 2000,1.434
Jun 2000,1.421
May 2000,1.42
Apr 2000,1.422
Mar 2000,1.479
Feb 2000,1.461
Jan 2000,1.356
Dec 1999,1.292
Nov 1999,1.263
Oct 1999,1.228
Sep 1999,1.215
Aug 1999,1.172
Jul 1999,1.122
Jun 1999,1.074
May 1999,1.073
Apr 1999,1.079
Mar 1999,0.997
Feb 1999,0.959
Jan 1999,0.967
Dec 1998,0.973
Nov 1998,1.022
Oct 1998,1.039
Sep 1998,1.024
Aug 1998,1.007
Jul 1998,1.029
Jun 1998,1.041
May 1998,1.069
Apr 1998,1.067
Mar 1998,1.063
Feb 1998,1.084
Jan 1998,1.12
Dec 1997,1.166
Nov 1997,1.192
Oct 1997,1.183
Sep 1997,1.16
Aug 1997,1.165
Jul 1997,1.151
Jun 1997,1.173
May 1997,1.196
Apr 1997,1.212
Mar 1997,1.229
Feb 1997,1.28
Jan 1997,1.291
Dec 1996,1.309
Nov 1996,1.323
Oct 1996,1.323
Sep 1996,1.265
Aug 1996,1.201
Jul 1996,1.176
Jun 1996,1.201
May 1996,1.273
Apr 1996,1.275
Mar 1996,1.183
Feb 1996,1.145
Jan 1996,1.145
Dec 1995,1.13
Nov 1995,1.12
Oct 1995,1.115
Sep 1995,1.119
Aug 1995,1.105
Jul 1995,1.1
Jun 1995,1.12
May 1995,1.126
Apr 1995,1.104
Mar 1995,1.088
Feb 1995,1.088
Jan 1995,1.098
Dec 1994,1.113
Nov 1994,1.131
Oct 1994,1.122
Sep 1994,1.125
Aug 1994,1.123
Jul 1994,1.11
Jun 1994,1.103
May 1994,1.1
Apr 1994,1.107
